strain,Ct_score,run_id
C14230,13.45,run23
C26630,13.56,run21
C32615,14.39,run26
C17469,15.06,run23
C28838,15.1,run26
C30197,15.12,run26
C13825,15.48,run23
C19774,15.71,run24
C28839,16.32,run26
C8579,16.37,run17
C30062,16.5,run26
C14075,16.87,run23
C25958,17.12,run24
C17517,17.44,run23
C18303,17.46,run24
C14722,17.62,run23
C28495,17.66,run26
C34459,17.7,run27
C34459,17.7,run35
C8565,17.91,run17
C7949,18.06,run17
C24752,18.1,run24
C29517,18.23,run21
C31141,18.29,run26
C37981,18.32,run27
C37981,18.32,run35
C2469,18.62,run6
C27765,18.65,run21
C6977,18.74,run16
C7605,19.15,run17
C314,19.2,run3
C314,19.2,run13
C16881,19.2,run23
C253,19.42,run3
C253,19.42,run13
C20682,19.51,run24
C34392,19.55,run26
C2685,19.56,run7
C27763,19.59,run21
C16957,19.61,run23
C28591,19.65,run26
C22289,19.96,run24
C30804,19.96,run26
C8240,19.97,run17
C11204,20.04,run21
C30103,20.09,run26
C713,20.21,run4
C25538,20.26,run24
C27640,20.27,run21
C21582,20.39,run20
C31823,20.75,run26
C32519,20.75,run26
C3381,20.83,run8
C1057,20.86,run6
C27725,20.96,run21
C17149,20.97,run23
C787,20.98,run4
C18021,21.11,run24
C39298,21.26,run27
C39298,21.26,run35
C1499,21.32,run6
C6158,21.33,run14
C35123,21.38,run21
C23676,21.46,run24
C24022,21.47,run21
C5384,21.56,run11
C6958,21.62,run16
C5246,21.71,run11
C926,21.75,run6
C20447,21.78,run24
C4649,21.89,run10
C6524,21.9,run15
C20407,21.94,run24
C24205,22.07,run24
C31522,22.08,run26
C5811,22.11,run12
C5813,22.21,run12
C8013,22.49,run17
C17244,22.5,run23
C6707,22.51,run15
C24052,22.58,run21
C815,22.72,run5
C571,22.77,run4
C6255,22.83,run13
C27764,22.86,run21
C14866,22.9,run23
C28177,22.94,run29
C28177,22.94,run37
C14421,22.95,run23
C6885,22.96,run16
C6882,23.17,run16
C25662,23.19,run24
C656,23.2,run4
C1216,23.23,run6
C3457,23.3,run8
C5902,23.34,run12
C5335,23.4,run11
