#Accession	Sequence ID	Release Date
MW751078	C1202	immediate
MW751079	C13209	immediate
MW751080	C17149	immediate
MW751081	C110	immediate
MW751082	C38000	immediate
MW751083	C599	immediate
MW751084	C32958	immediate
MW751085	C17244	immediate
MW751086	C28485	immediate
MW751087	C28495	immediate
MW751088	C28502	immediate
MW751089	C28591	immediate
MW751090	C28838	immediate
MW751091	C28839	immediate
MW751092	C30062	immediate
MW751093	C30072	immediate
MW751094	C30102	immediate
MW751095	C30103	immediate
MW751096	C30197	immediate
MW751097	C30804	immediate
MW751098	C31141	immediate
MW751099	C31823	immediate
MW751100	C32046	immediate
MW751101	C32615	immediate
MW751102	C34392	immediate
MW751103	C3739	immediate
MW751104	C3980	immediate
MW751105	C4074	immediate
MW751106	C4083	immediate
MW751107	C4195	immediate
MW751108	C4199	immediate
MW751109	C4214	immediate
MW751110	C4290	immediate
MW751111	C4419	immediate
MW751112	C4420	immediate
MW751113	C4447	immediate
MW751114	C4497	immediate
MW751115	C4585	immediate
MW751116	C4616	immediate
MW751117	C4621	immediate
MW751118	C4626	immediate
MW751119	C4649	immediate
MW751120	C4706	immediate
MW751121	C4710	immediate
MW751122	C4714	immediate
MW751123	C4717	immediate
MW751124	C22	immediate
MW751125	C26	immediate
MW751126	C54	immediate
MW751127	C58	immediate
MW751128	C203	immediate
MW751129	C223	immediate
MW751130	C253	immediate
MW751131	C293	immediate
MW751132	C309	immediate
MW751133	C314	immediate
MW751134	C353	immediate
MW751135	C358	immediate
MW751136	C377	immediate
MW751137	C389	immediate
MW751138	C416	immediate
MW751139	C422	immediate
MW751140	C451	immediate
MW751141	C452	immediate
MW751142	C460	immediate
MW751143	C502	immediate
MW751144	C544	immediate
MW751145	C569	immediate
MW751146	C571	immediate
MW751147	C587	immediate
MW751148	C589	immediate
MW751149	C656	immediate
MW751150	C657	immediate
MW751151	C658	immediate
MW751152	C659	immediate
MW751153	C677	immediate
MW751154	C713	immediate
MW751155	C721	immediate
MW751156	C724	immediate
MW751157	C787	immediate
MW751158	C803	immediate
MW751159	C813	immediate
MW751160	C815	immediate
MW751161	C819	immediate
MW751162	C821	immediate
MW751163	C1162	immediate
MW751164	C1172	immediate
MW751165	C1216	immediate
MW751166	C1218	immediate
MW751167	C1401	immediate
MW751168	C1499	immediate
MW751169	C1646	immediate
MW751170	C1751	immediate
MW751171	C1983	immediate
MW751172	C2041	immediate
MW751173	C2076	immediate
MW751174	C2239	immediate
MW751175	C2439	immediate
MW751176	C2449	immediate
MW751177	C2469	immediate
MW751178	C2562	immediate
MW751179	C926	immediate
MW751180	C1058	immediate
MW751181	C1063	immediate
MW751182	C2582	immediate
MW751183	C2685	immediate
MW751184	C2738	immediate
MW751185	C2755	immediate
MW751186	C2777	immediate
MW751187	C2800	immediate
MW751188	C2801	immediate
MW751189	C2826	immediate
MW751190	C2847	immediate
MW751191	C2878	immediate
MW751192	C2884	immediate
MW751193	C3089	immediate
