"datetested","Mombasa_tests","Mombasa_pos","Kilifi_tests","Kilifi_pos","Kwale_tests","Kwale_pos","TaitaTaveta_tests","TaitaTaveta_pos","TanaRiver_tests","TanaRiver_pos","Lamu_tests","Lamu_pos"
2020-03-21,1,1,1,0,0,0,0,0,0,0,0,0
2020-03-22,5,2,4,0,0,0,0,0,0,0,0,0
2020-03-23,10,2,7,1,0,0,0,0,0,0,0,0
2020-03-24,17,3,13,1,0,0,0,0,0,0,0,0
2020-03-25,38,3,20,3,3,0,0,0,0,0,0,0
2020-03-26,38,3,25,3,3,0,0,0,0,0,0,0
2020-03-27,38,3,30,3,3,0,0,0,0,0,0,0
2020-03-28,38,3,34,3,4,0,1,0,0,0,0,0
2020-03-29,38,3,46,4,5,0,1,0,0,0,0,0
2020-03-31,38,3,50,4,5,0,1,0,0,0,0,0
2020-04-01,38,3,57,4,5,0,1,0,0,0,0,0
2020-04-02,48,4,67,4,5,0,1,0,0,0,0,0
2020-04-03,58,4,68,4,8,0,1,0,0,0,0,0
2020-04-04,89,6,77,5,8,0,1,0,2,0,0,0
2020-04-05,142,12,107,5,8,0,1,0,2,0,0,0
2020-04-06,167,14,107,5,12,0,1,0,2,0,0,0
2020-04-07,188,16,114,5,12,0,1,0,2,0,0,0
2020-04-08,201,17,117,5,12,0,1,0,2,0,0,0
2020-04-09,236,20,122,6,39,0,2,0,2,0,0,0
2020-04-10,261,21,130,6,39,0,2,0,4,0,0,0
2020-04-11,299,22,133,6,42,0,2,0,4,0,0,0
2020-04-12,331,30,134,6,42,0,2,0,4,0,0,0
2020-04-13,361,30,134,6,46,0,3,0,4,0,0,0
2020-04-14,388,35,137,6,46,0,4,0,4,0,3,0
2020-04-15,430,39,142,6,46,0,4,0,5,0,3,0
2020-04-16,522,50,144,7,51,0,7,0,5,0,3,0
2020-04-17,563,53,168,7,51,0,9,0,5,0,3,0
2020-04-18,703,57,173,8,51,0,10,0,5,0,5,0
2020-04-19,749,67,186,8,56,0,11,0,5,0,5,0
2020-04-20,856,74,190,8,56,0,11,0,5,0,5,0
2020-04-21,1021,81,200,8,58,0,11,0,5,0,5,0
2020-04-22,1119,88,200,8,61,1,11,0,5,0,6,0
2020-04-23,1431,94,227,8,76,1,12,0,5,0,6,0
2020-04-24,1788,98,254,8,76,1,13,0,5,0,6,0
2020-04-25,2007,101,262,8,93,1,13,0,5,0,6,0
2020-04-26,2121,105,346,8,103,2,13,0,5,0,6,0
2020-04-27,2197,111,386,8,103,2,13,0,5,0,6,0
