tip	date	distance	residual
C30103	2020.5136612021859	4.3180125741828444E-4	8.088044358946998E-5
C31823	2020.5218579234972	4.3180125741828444E-4	7.539434552852274E-5
C27765	2020.5	4.3180125741828444E-4	9.002394035808546E-5
C35123	2020.5409836065573	4.666312574182844E-4	9.742345005268307E-5
C28495	2020.5027322404371	4.2980125741828444E-4	8.619524100436237E-5
C28591	2020.5027322404371	2.6105125741828427E-4	-8.25547589956378E-5
C23589	2020.4781420765028	3.3858125741828424E-4	1.1433535187425935E-5
C28838	2020.5027322404371	3.6685125741828424E-4	2.3245241004362163E-5
C28839	2020.5027322404371	3.6685125741828424E-4	2.3245241004362163E-5
C14933	2020.4262295081967	2.646012574182843E-4	-2.780117709250135E-5
C20639	2020.4617486338798	2.6399125741828427E-4	-5.218426869045751E-5
C17149	2020.4426229508197	2.627012574182843E-4	-4.067337321461787E-5
C16959	2020.4153005464482	1.9517125741828423E-4	-8.991637967783106E-5
C17085	2020.4426229508197	1.9517125741828423E-4	-1.0820337321461792E-4
C24205	2020.48087431694	4.065412574182844E-4	7.756483583392504E-5
C13996	2020.4180327868853	3.0130125741828425E-4	1.4384920968667908E-5
C23318	2020.4754098360656	2.998512574182843E-4	-2.546776545885092E-5
C24157	2020.48087431694	3.444812574182843E-4	1.550483583392492E-5
C11204	2020.4043715846994	3.2795125741828427E-4	5.0178417737061366E-5
C6369	2020.3661202185792	2.578912574182843E-4	5.7202086887406245E-6
C7949	2020.3688524590164	2.904612574182843E-4	3.6461509335017524E-5
C14565	2020.4234972677596	2.2261125741828425E-4	-6.796247773877828E-5
C15388	2020.4344262295083	2.2261125741828425E-4	-7.527727515344861E-5
C23676	2020.4754098360656	3.3091125741828426E-4	5.592234541149045E-6
C25310	2020.483606557377	3.3162125741828427E-4	8.161364802018148E-7
C34459	2020.5409836065573	5.031612574182844E-4	1.3395345005268308E-4
C30197	2020.516393442623	2.374612574182842E-4	-1.152882557640313E-4
C803	2020.2868852459017	1.979812574182842E-4	-1.1575100543998959E-6
C1499	2020.2978142076502	1.9517125741828423E-4	-1.1282307469070215E-5
C2531	2020.3142076502731	1.6373125741828425E-4	-5.369450359118673E-5
C5289	2020.3497267759562	1.6373125741828425E-4	-7.746759518914288E-5
C787	2020.2868852459017	1.6073125741828426E-4	-3.840751005439985E-5
C3739	2020.3306010928961	1.6573125741828427E-4	-6.266669971330323E-5
C2826	2020.3196721311476	1.6573125741828427E-4	-5.53519022986329E-5
C4585	2020.3415300546449	1.9917125741828422E-4	-3.6541497128195666E-5
C6288	2020.3579234972678	1.6673125741828427E-4	-7.995369325031215E-5
C3140	2020.3251366120219	2.0919125741828418E-4	-1.5549301006079176E-5
C5913	2020.3551912568305	1.7573125741828427E-4	-6.912499389658905E-5
C6186	2020.3579234972678	2.7482125741828424E-4	2.8136306749687828E-5
C22370	2020.4699453551912	2.108012574182842E-4	-1.1086036675140483E-4
C7954	2020.3661202185792	2.5035125741828423E-4	-1.8197913112594287E-6
C15470	2020.4344262295083	2.069512574182842E-4	-9.093727515344866E-5
C29300	2020.5081967213114	2.4657125741828423E-4	-1.0069215770286199E-4
C5875	2020.3551912568305	3.445112574182842E-4	9.965500610341089E-5
C7078	2020.363387978142	4.171112574182848E-4	1.6676890804246422E-4
C6953	2020.363387978142	3.4551125741828423E-4	9.516890804246367E-5
C5015	2020.3469945355191	3.4351125741828424E-4	1.041411041645802E-4
C25616	2020.4863387978141	1.6873125741828426E-4	-1.639025628735213E-4
C1422	2020.3005464480875	2.019112574182842E-4	-6.371006822793331E-6
C6977	2020.360655737705	2.012512574182842E-4	-4.726239260403531E-5
C58	2020.2267759562842	1.6373125741828425E-4	4.823875726620063E-6
C460	2020.2704918032787	1.6273125741828425E-4	-2.543531393228333E-5
C4083	2020.3387978142077	2.3215125741828422E-4	-1.732797774472571E-6
C3089	2020.3251366120219	1.9917125741828422E-4	-2.5569301006079137E-5
C1722	2020.3060109289618	2.366412574182842E-4	2.4701594469760465E-5
C14984	2020.4289617486338	2.6903125741828426E-4	-2.5199876446002417E-5
C5696	2020.3524590163934	1.9817125741828422E-4	-4.4856294542866E-5
C5246	2020.3524590163934	1.9817125741828422E-4	-4.4856294542866E-5
C22	2020.207650273224	1.6473125741828427E-4	1.862477120245971E-5
C5442	2020.3497267759562	2.316112574182842E-4	-9.587595189142927E-6
C7324	2020.360655737705	2.316112574182842E-4	-1.690239260403531E-5
C7322	2020.363387978142	1.9817125741828422E-4	-5.217109195753634E-5
C4419	2020.3415300546449	2.660712574182843E-4	3.0358502871804388E-5
C1162	2020.2978142076502	1.6873125741828426E-4	-3.7722307469070186E-5
C1063	2020.295081967213	2.7750125741828426E-4	7.287639188465291E-5
C5176	2020.3469945355191	1.7073125741828425E-4	-6.863889583541978E-5
C3130	2020.3224043715848	1.6973125741828426E-4	-5.3180601652356004E-5
C2469	2020.311475409836	1.6773125741828426E-4	-4.7865804237463616E-5
C2884	2020.3224043715848	2.410312574182842E-4	1.811939834764394E-5
C16881	2020.4398907103825	2.724512574182843E-4	-2.909467386089478E-5
C589	2020.275956284153	1.6673125741828427E-4	-2.509271263950746E-5
C27611	2020.5	1.6673125741828427E-4	-1.7504605964191472E-4
C1216	2020.2978142076502	1.9817125741828422E-4	-8.282307469070223E-6
C4649	2020.3497267759562	3.0235125741828424E-4	6.115240481085712E-5
C587	2020.275956284153	2.1754125741828422E-4	2.5717287360492496E-5
C656	2020.2814207650274	2.6453125741828426E-4	6.904988865304634E-5
C6885	2020.363387978142	2.5133125741828426E-4	9.889080424637015E-7
C6740	2020.360655737705	2.5133125741828426E-4	2.8176073959647525E-6
C658	2020.2814207650274	2.116112574182842E-4	1.6129888653046285E-5
C1357	2020.3005464480875	1.6673125741828427E-4	-4.1551006822793275E-5
C15659	2020.4344262295083	2.388212574182842E-4	-5.906727515344866E-5
C4730	2020.3415300546449	1.6773125741828426E-4	-6.798149712819562E-5
C6158	2020.3579234972678	2.0278125741828422E-4	-4.3903693250312194E-5
C27640	2020.5	2.372712574182842E-4	-1.0450605964191478E-4
C25438	2020.4863387978141	2.7646125741828426E-4	-5.617256287352129E-5
C4199	2020.344262295082	2.286112574182842E-4	-8.930196481918772E-6
C3216	2020.3224043715848	2.3108125741828423E-4	8.16939834764397E-6
C3381	2020.3251366120219	1.9517125741828423E-4	-2.9569301006079126E-5
C4214	2020.3387978142077	1.9417125741828423E-4	-3.9712797774472556E-5
